,season,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,full_name
285,2019-20,35.0,28.5,17.3,6.3,15.4,41.1,1.8,4.7,37.6,2.9,4.0,71.9,1.0,2.7,3.7,3.8,2.6,1.1,0.1,1.9,28.8,0.0,0.0,-0.7,Caris LeVert
286,2019-20,24.0,7.9,3.0,1.3,2.9,43.5,0.2,0.6,35.7,0.3,0.5,58.3,0.9,1.8,2.7,0.3,0.3,0.3,0.1,0.8,7.7,1.0,0.0,-0.5,TJ Leaf
287,2019-20,4.0,6.6,2.5,1.0,2.5,40.0,0.0,1.0,0.0,0.5,0.5,100,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.5,3.0,0.0,0.0,-5.5,Jalen Lecque
288,2019-20,19.0,12.2,3.8,1.5,3.0,49.1,0.8,1.8,42.9,0.1,0.2,66.7,0.2,1.0,1.2,0.5,0.4,0.6,0.2,1.4,8.1,0.0,0.0,1.4,Courtney Lee
289,2019-20,46.0,28.7,12.3,4.2,10.2,41.0,1.6,4.7,35.0,2.3,2.6,88.2,0.7,4.2,4.8,2.7,1.3,1.0,0.1,2.3,24.3,3.0,0.0,-2.2,Damion Lee
290,2019-20,46.0,18.6,8.5,3.5,6.3,55.2,0.3,1.2,25.0,1.2,1.9,64.0,1.9,4.1,6.1,1.0,1.0,0.5,1.0,2.3,20.6,8.0,0.0,-2.1,Alex Len
291,2019-20,48.0,32.3,27.0,9.4,20.2,46.4,2.1,5.6,36.5,6.2,6.9,89.7,1.1,6.5,7.5,5.1,2.9,1.8,0.6,1.9,48.1,13.0,1.0,7.4,Kawhi Leonard
292,2019-20,49.0,20.1,6.1,2.4,4.6,52.0,1.0,2.4,42.9,0.3,0.5,65.4,0.6,4.5,5.1,1.1,0.7,0.3,0.3,2.1,14.8,2.0,0.0,1.9,Meyers Leonard
293,2019-20,54.0,37.0,29.5,9.4,20.4,46.0,3.9,10.0,39.3,6.8,7.7,88.9,0.5,3.8,4.4,7.9,2.9,1.0,0.3,1.7,47.6,16.0,1.0,0.9,Damian Lillard
294,2019-20,45.0,12.5,3.6,1.4,3.2,43.0,0.3,1.2,25.5,0.6,0.9,63.4,0.7,1.7,2.4,0.5,0.3,0.3,0.3,1.6,8.5,1.0,0.0,-1.4,Nassir Little
295,2019-20,20.0,13.1,3.4,1.5,4.0,36.7,0.1,0.7,7.1,0.5,0.6,75.0,1.4,1.9,3.3,1.0,0.6,0.6,0.3,1.7,11.0,0.0,0.0,-5.0,Kevon Looney
